Field name,Type
PAT_ENC_CSN_ID,INTEGER
PAT_ID,STRING
PAT_MRN,STRING
HSP_ACCOUNT_ID,INTEGER
PAT_AGE_AT_ENC,INTEGER
PAT_CLASS,STRING
ENC_TYPE,STRING
DEPARTMENT_NAME,STRING
PRIMARY_LOCATION,STRING
LOS_PRIME_PROC_CODE,STRING
LOS_PRIME_PROC_NAME,STRING
LOS_PRIME_CAT,STRING
VISIT_PROVIDER,STRING
PCP_PROVIDER,STRING
REFERRAL_NAME,STRING
SPECIALTY,STRING
ADMISSION_TYPE,STRING
VISIT_TYPE,STRING
APPT_STATUS,STRING
REASON_FOR_VISIT,LONG_STRING
OBGYN_Status,STRING
TOBACCO_USE,STRING
ALCOHOL_USE,STRING
ILL_DRUG_USE,STRING
TOBACCO_USED_YEARS,STRING
SMOKING_START_DATE,DATE
SMOKING_QUIT_DATE,DATE
ENTRY_TIME,DATETIME
APPT_MADE_DATE,TIMESTAMP
CONTACT_DATE,DATE
APPT_TIME,DATE
BEGIN_CHECKIN_DTTM,DATETIME
CHECKIN_TIME,DATE
CHECKOUT_TIME,DATE
ENC_CLOSE_TIME,DATETIME
UPDATE_DATE,TIMESTAMP
EFFECTIVE_DATE_DTTM,TIMESTAMP
PAT_VIS_WAIT,INTEGER
PAT_VIS_TM_W_NURSE,INTEGER
PAT_TM_W_FOR_PHYS,INTEGER
PAT_VIS_TM_W_PHYS,INTEGER
APPT_LENGTH,INTEGER
BP_SYSTOLIC,INTEGER
BP_DIASTOLIC,INTEGER
TEMPERATURE,FLOAT
PULSE,INTEGER
WEIGHT,FLOAT
HEIGHT,STRING
BMI,FLOAT
BSA,FLOAT
ENC_CLOSED_YN,STRING
REFERRAL_REQ_YN,STRING
NONCVRED_SERVICE_YN,STRING
PRE_VIS_CHART_AMT,INTEGER
POST_VIS_CHART_AMT,INTEGER
SEQUENTIAL_APPT_YN,STRING
DX_UNIQUE_COUNTER,STRING
CNCT_ARCHIVED_YN,STRING
APPT_RESCH_YN,STRING
APPT_SERIAL_NO,INTEGER
INPATIENT_DATA_ID,STRING
CHARGE_SLIP_NUMBER,STRING
PAT_CLASS_C,INTEGER
hx_pat_enc_csn_id,INTEGER
ENC_CLOSED_USER_ID,STRING
LOS_PRIME_PROC_ID,INTEGER
PCP_PROV_ID,STRING
VISIT_PROV_ID,STRING
DEPARTMENT_ID,INTEGER
APPT_PRC_ID,STRING
APPT_ENTRY_USER_ID,STRING
CHECKIN_USER_ID,STRING
REFERRAL_ID,INTEGER
ACCOUNT_ID,INTEGER
COVERAGE_ID,INTEGER
PRIMARY_LOC_ID,INTEGER
VISIT_EPM_ID,STRING
VISIT_EPP_ID,BIGINT
SERV_AREA_ID,INTEGER
IP_EPISODE_ID,INTEGER
REFERRAL_SOURCE_ID,STRING
ENC_BILL_AREA_ID,INTEGER
CHKOUT_USER_ID,STRING
