Field name,Type
PAT_MRN,STRING
PAT_ID,STRING
PAT_ENC_CSN_ID,INTEGER
ORDER_ID,INTEGER
ACCESSION_NUM,BIGINT
PROC_CODE,STRING
DISPLAY_NAME,STRING
EXTERNAL_ORD_ID,STRING
ABNORMAL_YN,STRING
ORDERING_DATE,TIMESTAMP
SPECIMEN_TYPE,STRING
SPECIMEN_TAKEN_TIME,TIMESTAMP
SPECIMEN_RECV_TIME,DATETIME
SPECIMEN_COMMENTS,STRING
ORDER_TYPE,STRING
ORDER_STATUS,STRING
LAB_STATUS,STRING
ORDER_CLASS,STRING
ORDER_PRIORITY,STRING
ORDERING_PROV_NAME,STRING
AUTHRZING_PROV_NAME,STRING
ORDERING_PROV_ID,STRING
AUTHRZING_PROV_ID,STRING
LAB_STATUS_C,INTEGER
