Field name,Type
ORDER_MED_ID,INTEGER
PAT_MRN,STRING
PAT_ID,STRING
PAT_ENC_CSN_ID,INTEGER
ORDER_STATUS,STRING
MED_PRESC_PROV_NAME,STRING
ORDERING_DTTM,TIMESTAMP
ORDER_START_DATE,DATE
ORDER_END_DATE,DATE
DISCONTINUE_DATETIME,DATE
NAME,LONG_STRING
GENERIC,STRING
THERAPEUTIC_CLASS,STRING
PHARMACEUTICAL_CLASS,STRING
STRENGTH,STRING
MED_DOSE_UNIT,STRING
ADMIN_DOSE_UNIT,STRING
MED_ROUTE,STRING
HV_DISCRETE_DOSE,STRING
QUANTITY,STRING
MED_DIS_DISP_QTY,FLOAT
TOTAL_DOSES,INTEGER
TOTAL_REMAINING_DOSES,INTEGER
REFILLS,STRING
INSTRUCTION,INTEGER
FREQUENCY,STRING
PAT_ENC_DATE_REAL,FLOAT
MEDICATION_ID,INTEGER
MED_PRESC_PROV_ID,STRING
GPI,STRING
MED_ROUTE_C,STRING
HV_DOSE_UNIT_C,INTEGER
MAX_DOSE_UNIT_C,INTEGER
ORDER_STATUS_C,INTEGER
HV_DISCR_FREQ_ID,STRING
PHARMACY_ID,INTEGER
DISP_AS_WRITTEN_YN,STRING
RSN_FOR_DISCON,STRING
EXT_FORMULARY_ID,STRING
EXT_COVERAGE_ID,STRING
EXT_COPAY_ID,STRING
EXT_PHARMACY_TYPE,STRING
EXT_FORMULARY_STAT,STRING
COST,STRING
