Field name,Type
PAT_ID,STRING
PAT_MRN,STRING
PAT_SEX,STRING
BIRTH_DATE,DATE
ETHNIC,STRING
RACE,STRING
MARITAL,STRING
RELIGION,STRING
LANGUAGE,STRING
LIVING_STATUS,STRING
ADDRESS_LINE,LONG_STRING
CITY,STRING
STATE,STRING
COUNTY,STRING
COUNTRY,STRING
ZIP,STRING
REG_STATUS,STRING
CUR_PCP_PROV_NAME,STRING
CUR_PRIM_LOC_NAME,STRING
EMPLOY_STATUS,STRING
comp_appts_count,INTEGER
noshow_appts_count,INTEGER
NO_SHOW_RATE,FLOAT
PRIM_FINANCIAL_CLASS,STRING
FIRST_APPT_DEPARTMENT,STRING
TOBACCO_USE,STRING
ALCOHOL_USE,STRING
ILL_DRUG_USE,STRING
SMOKING_START_DATE,DATE
SMOKING_END_DATE,DATE
TOBACCO_USED_YEARS,STRING
REG_DATE,DATETIME
REC_CREATE_DATE,DATETIME
DEATH_DATE,DATE
ALRGY_UPD_DATE,DATE
MEDS_LAST_REV_TM,DATETIME
UPDATE_DATE,TIMESTAMP
EPT_LOG_DATE,DATETIME
ALRGY_UPD_INST,DATE
FIRST_CONTACT_DATE,DATE
LAST_CONTACT_DATE,DATE
EPICCARE_PAT_YN,STRING
MEDICARE_NUM,STRING
MEDICAID_NUM,STRING
ADV_DIRECTIVE_YN,STRING
INTRPTR_NEEDED_YN,STRING
TXP_PAT_YN,STRING
ALRGY_REV_EPT_CSN,INTEGER
MEDS_LAST_REV_CSN,INTEGER
ALLERGY_REVIEW_STATUS,STRING
CUR_PCP_PROV_ID,STRING
CUR_PRIM_LOC_ID,INTEGER
PRIM_CVG_ID,INTEGER
PRIM_EPM_ID,STRING
PRIM_EPP_ID,BIGINT
ALRGY_UPD_USER_ID,STRING
MEDS_LST_REV_USR_ID,STRING
FIRST_APPT_DEPT_ID,INTEGER
hx_pat_enc_csn_id,INTEGER
MGI_YN,STRING
MGI_DATE,DATETIME
ADI_NATRANK,INTEGER
RUCA,STRING
PPV_YN,STRING
DVS_YN,STRING
DCI_Distress_Score,FLOAT
