Field name,Type
PAT_MRN,STRING
PAT_ID,STRING
SURGERY_CSN_ID,INTEGER
PAT_ENC_CSN_ID,INTEGER
CASE_ID,STRING
LOG_ID,STRING
OR_CASE_TYPE,STRING
OR_CASE_CLASS,STRING
PROC_LEVEL,STRING
NUM_OF_PANELS,INTEGER
PRE_OP_DIAG,STRING
OR_POSTOP_DEST,STRING
HSP_ACCOUNT_ID,INTEGER
PATIENT_CLASS,STRING
PATIENT_TYPE_CD,STRING
OR_SERVICE,STRING
LOCATION,STRING
ROOM,STRING
OR_STATUS,STRING
OR_ANESTH_TYPE,STRING
OR_LATERALITY,STRING
SITE,STRING
INCISION_CLOSURE,STRING
OR_WOUND_CLASS,STRING
PRIMARY_PHYSICAN,STRING
ANESTHESIOLOGIST,STRING
PNL_,LONG_STRING
ALL_PROC_AS_ORDERED,LONG_STRING
TOTAL_TIME_NEEDED,INTEGER
SCHED_START_TIME,TIMESTAMP
PREOP_PRESENT_DATETIME,TIMESTAMP
RN_ASSESS_COMPLETE_DATETIME,DATETIME
ROOM_READY_DATETIME,TIMESTAMP
PAT_IN_OR_DATETIME,TIMESTAMP
INCISION_START_DATETIME,TIMESTAMP
DRESSING_END_DATETIME,TIMESTAMP
OUT_OR_DATETIME,TIMESTAMP
COMPLETE_DATETIME,TIMESTAMP
INPATIENT_DATA_ID,STRING
SERVICE_C,STRING
PNL_1_PRIM_PROC_EXT_ID,STRING
PNL_1_PRIM_SURG_PROC_ID,STRING
PRIMARY_PHYS_ID,STRING
ANES_prov_id,STRING
CPT1,STRING
CPT2,STRING
CPT3,STRING
CPT4,STRING
CPT5,STRING
MOD1,LONG_STRING
MOD2,LONG_STRING
MOD3,LONG_STRING
MOD4,LONG_STRING
MOD5,LONG_STRING
ARGUSIMPLANT,STRING
BCL,STRING
CONFORMER,STRING
CORNEAL_PUNCH,STRING
DIATHERMY_PROBE,STRING
FRAGMATOME,STRING
GAS,STRING
IOL,STRING
IRIS_HOOK,STRING
I_TRACK,STRING
KAHOOK_DUAL,STRING
LASER_PROBE,STRING
MAL_RING,STRING
PERFLUORON,STRING
SEALANT_EVICEL,STRING
SEALANT_RESURE,STRING
SIL_OIL,STRING
SUTURE_CG,STRING
SUTURE_ETHILON,STRING
SUTURE_GT,STRING
SUTURE_MERSILENE,STRING
SUTURE_MONOCRYL,STRING
SUTURE_NYLON,STRING
SUTURE_PDS,STRING
SUTURE_PG,STRING
SUTURE_PP,STRING
SUTURE_PROLENE,STRING
SUTURE_SILK,STRING
SUTURE_VICRYL,STRING
TKP,STRING
VISCO_360,STRING
VISC_DUOVISC,STRING
VISC_HEALON,STRING
VISC_OCUCOAT,STRING
VISC_PROVISC,STRING
VISC_VISCOAT,STRING
VITRECTOMY_PACK,STRING
VIT_ACCURUS,STRING
VIT_CONSTELLATION,STRING
VIT_INFINITY,STRING
VIT_OCCUTOME,STRING
VIT_OTHER,STRING
CT_TISSUE_FOR_SURGERY,STRING
CT_KPRO,STRING
GDD_TYPE,STRING
GDD_MIGS,STRING
GDD_PATCH_GRAFT,STRING
GDD_OTHER,STRING
CAT_ANTERIOR_POSTERIOR,STRING
CAT_TYPE,STRING
CAT_COMPANY,STRING
CAT_MODEL,STRING
CAT_POWER,STRING
CAT_CTR,STRING
RET_SB,STRING
RET_ARGUS,STRING
RET_RETISERT,STRING
OP_NOTE,STRING
BRIEF_OP_NOTE,STRING
